,11.00-19:00,19:00-23:00,23:00-7:00,7:00-9:00,9:00-11:00
0,991504.0,482504.0,793016.0,253120.0,253160.0
1,944592.0,451352.0,1020928.0,259760.0,257160.0
2,812560.0,396680.0,858720.0,219400.0,209120.0
3,958512.0,467872.0,983280.0,248400.0,248600.0
4,959232.0,467872.0,999560.0,252800.0,248920.0
5,1028256.0,502976.0,1048400.0,264840.0,266200.0
6,1016784.0,492480.0,1072584.0,273856.0,267344.0
7,1005776.0,487376.0,1050840.0,266160.0,263480.0
8,1002232.0,486112.0,1045968.0,266376.0,260040.0
9,994136.0,478280.0,1042624.0,263560.0,261888.0
10,983520.0,480680.0,1029824.0,262328.0,254440.0
11,957800.0,466936.0,1023264.0,261944.0,255800.0
12,861352.0,416856.0,901328.0,228888.0,225544.0
13,985248.0,475904.0,976888.0,248424.0,245608.0
14,1005176.0,486176.0,1033384.0,261272.0,260480.0
15,993344.0,480144.0,1061984.0,268840.0,267608.0
16,987800.0,476520.0,1039192.0,264352.0,259072.0
17,995280.0,481272.0,1033208.0,261360.0,258984.0
18,981992.0,478104.0,1021680.0,255992.0,252648.0
19,946528.0,461560.0,1003200.0,251416.0,247896.0
20,989120.0,480656.0,1034792.0,258016.0,260920.0
21,994344.0,482504.0,1050800.0,260744.0,260192.0
22,1009096.0,489016.0,1063832.0,265408.0,263648.0
23,1022912.0,495440.0,1084952.0,272272.0,270776.0
24,1031448.0,504944.0,1090848.0,271480.0,272448.0
25,941880.0,440800.0,1052416.0,266864.0,259120.0
26,744392.0,361328.0,783288.0,198000.0,194744.0
27,935480.0,451000.0,971960.0,242088.0,243848.0
28,911592.0,443344.0,976312.0,242880.0,242704.0
29,721800.0,342400.0,901560.0,227120.0,219240.0
30,620504.0,302104.0,646712.0,162800.0,163152.0
31,621808.0,306240.0,647680.0,162928.0,160072.0
32,663944.0,323744.0,661016.0,163584.0,168168.0
33,817912.0,400048.0,806040.0,200240.0,203280.0
34,899760.0,438416.0,934528.0,234456.0,230680.0
35,935168.0,456768.0,963040.0,240360.0,239800.0
36,922064.0,449904.0,983320.0,244360.0,243520.0
37,951192.0,462704.0,1006280.0,250272.0,249480.0
38,937024.0,455312.0,1007072.0,251152.0,250800.0
39,896808.0,436832.0,984280.0,246136.0,244024.0
40,830808.0,403128.0,880264.0,221936.0,215336.0
41,890736.0,434016.0,912912.0,228536.0,224136.0
42,914432.0,443104.0,944152.0,233640.0,235752.0
43,918000.0,444792.0,971680.0,241880.0,240400.0
44,869088.0,420992.0,957000.0,239976.0,234168.0
45,857512.0,416872.0,914576.0,229096.0,225520.0
46,825112.0,401456.0,887120.0,224080.0,221680.0
47,717464.0,350592.0,792288.0,198512.0,195976.0
48,839872.0,406912.0,880112.0,222168.0,215952.0
49,831024.0,397936.0,897144.0,222288.0,221112.0
50,867680.0,420728.0,899888.0,224752.0,221672.0
51,890296.0,429968.0,935176.0,234080.0,230560.0
52,883432.0,423632.0,945736.0,234520.0,232672.0
53,842600.0,412280.0,889680.0,223080.0,219384.0
54,798320.0,390520.0,839784.0,210408.0,207416.0
55,892912.0,431440.0,943184.0,236896.0,232496.0
56,893008.0,433632.0,964032.0,240496.0,239096.0
57,902088.0,434368.0,973808.0,246136.0,241472.0
58,860376.0,413952.0,948464.0,236984.0,234432.0
59,781088.0,374000.0,884040.0,222200.0,217624.0
60,693680.0,336000.0,713760.0,175560.0,175208.0
61,677020.0,324420.0,738120.0,183240.0,181200.0
62,808800.0,391060.0,829800.0,205960.0,204720.0
63,852840.0,412800.0,876280.0,217360.0,213960.0
64,879560.0,426480.0,918560.0,229440.0,228400.0
65,917240.0,444760.0,961280.0,240200.0,239480.0
66,920400.0,446440.0,975080.0,243560.0,240600.0
67,908360.0,441480.0,966720.0,242120.0,238400.0
68,799320.0,388640.0,831960.0,207960.0,205040.0
69,911700.0,440700.0,965540.0,238540.0,240840.0
70,894432.0,434632.0,951159.59322,238000.0,231655.59322
71,904992.0,438680.0,956648.0,236368.0,234784.0
72,873048.0,426272.0,940368.0,232232.0,233640.0
73,818400.0,401280.0,918720.0,226336.0,226336.0
74,806080.0,395824.0,850080.0,207856.0,212872.0
75,677776.0,338272.0,740432.0,184008.0,184624.0
76,869088.0,429528.0,909392.0,224224.0,232320.0
77,859144.0,425128.0,945472.0,236808.0,240328.0
78,832304.0,411136.0,931216.0,234080.0,237864.0
79,827552.0,408496.0,913968.0,231088.0,229592.0
80,824032.0,408848.0,914848.0,232144.0,230824.0
81,771320.0,375496.0,855096.0,216920.0,214456.0
82,726528.0,355168.0,801856.0,201608.0,201168.0
83,790064.0,389400.0,887656.0,225720.0,223608.0
84,762520.0,376024.0,875072.0,219472.0,220440.0
85,701272.0,343728.0,832744.0,212432.0,207592.0
86,676808.0,338888.0,759616.0,192016.0,192016.0
87,695024.0,342232.0,790504.0,199320.0,201168.0
88,621016.0,300432.0,744392.0,187528.0,186560.0
89,570768.0,311256.0,629992.0,160072.0,159104.0
90,728640.0,407000.0,640376.0,157784.0,164296.0
91,822272.0,430056.0,861960.0,217888.0,220440.0
92,801416.0,419408.0,853952.0,215952.0,212344.0
93,796576.0,418440.0,828344.0,208648.0,208472.0
94,799216.0,415008.0,844888.0,213224.0,211288.0
95,718608.0,360888.0,811008.0,203984.0,203192.0
96,720720.0,395648.0,722568.0,183568.0,182512.0
97,807224.0,426624.0,834504.0,210672.0,210056.0
98,814968.0,429000.0,846208.0,214896.0,212080.0
99,807136.0,419760.0,851488.0,213664.0,215776.0
100,796312.0,417208.0,855712.0,217008.0,214456.0
101,758296.0,389752.0,822448.0,207944.0,202928.0
102,778008.0,372504.0,793496.0,199848.0,196856.0
103,762344.0,361416.0,786544.0,198968.0,194920.0
104,759440.0,360712.0,776072.0,199496.0,193160.0
105,759088.0,362208.0,767448.0,196328.0,188936.0
106,715176.0,369600.0,772552.0,199848.0,195976.0
107,674784.0,351648.0,703120.0,178200.0,180488.0
108,756624.0,407264.0,718784.0,181280.0,184008.0
109,789448.0,416944.0,805552.0,206096.0,208120.0
110,800184.0,420024.0,819104.0,210672.0,208736.0
111,822096.0,436920.0,825440.0,209088.0,212784.0
112,802472.0,422136.0,833976.0,216480.0,219208.0
113,780296.0,403656.0,808280.0,202752.0,210848.0
114,745976.0,386584.0,781968.0,195536.0,202400.0
115,743248.0,401808.0,727848.0,183480.0,189552.0
116,741576.0,385880.0,772640.0,199496.0,197032.0
117,618024.0,316272.0,723624.0,183656.0,186120.0
118,394680.0,198704.0,524480.0,134024.0,135256.0
119,339768.0,159544.0,405856.0,100936.0,106832.0
120,479600.0,297000.0,335368.0,84920.0,87032.0
121,695288.0,379368.0,648208.0,163768.0,169928.0
122,728904.0,394416.0,747736.0,193160.0,193336.0
123,784960.0,412104.0,798072.0,204952.0,206008.0
124,800448.0,417296.0,819720.0,208296.0,208736.0
125,797720.0,416592.0,814792.0,207416.0,209000.0
126,799128.0,416416.0,829400.0,213312.0,212256.0
127,768944.0,391688.0,816728.0,205832.0,208208.0
128,723184.0,378576.0,757416.0,190872.0,193160.0
129,779152.0,412544.0,735592.0,187176.0,188672.0
130,810832.0,423720.0,829048.0,210760.0,211728.0
131,794640.0,413160.0,815848.0,206448.0,210848.0
132,794464.0,415184.0,796224.0,200376.0,207152.0
133,801592.0,415712.0,816552.0,208472.0,210848.0
134,794728.0,409200.0,813384.0,207592.0,208296.0
135,717376.0,359568.0,782408.0,198088.0,198792.0
136,726000.0,403304.0,658680.0,170192.0,167728.0
137,790856.0,409640.0,812856.0,204336.0,211376.0
138,795256.0,413600.0,806344.0,205568.0,206888.0
139,799040.0,416592.0,815144.0,209000.0,208824.0
140,797720.0,417648.0,812064.0,208208.0,205040.0
141,787248.0,408584.0,811008.0,208824.0,206976.0
142,767096.0,396352.0,779064.0,198704.0,203632.0
143,760760.0,404712.0,765072.0,195184.0,198000.0
144,761024.0,401368.0,786368.0,201784.0,205744.0
145,753016.0,398992.0,767800.0,201168.0,192808.0
146,739200.0,386144.0,770704.0,199408.0,194568.0
147,732952.0,386056.0,749584.0,192104.0,191664.0
148,665368.0,346016.0,709280.0,179872.0,178376.0
149,612832.0,319440.0,648120.0,162448.0,165968.0
150,636504.0,346544.0,625152.0,158048.0,159984.0
151,637824.0,332200.0,663608.0,170984.0,165792.0
152,586080.0,304656.0,619784.0,160952.0,156376.0
153,540936.0,281952.0,579392.0,150744.0,145816.0
154,439296.0,221496.0,499664.0,130592.0,124608.0
155,323488.0,162360.0,362472.0,91344.0,92664.0
156,405833.142857,203170.133333,402790.4,100618.361905,100760.990476
157,411918.628571,206212.87619,408875.885714,102139.733333,102282.361905
158,418004.114286,209255.619048,414961.371429,103661.104762,103803.733333
159,424089.6,212298.361905,421046.857143,105182.47619,105325.104762
160,429009.980952,219648.0,427132.342857,106703.847619,106846.47619
161,493592.0,267872.0,445368.0,110352.0,113872.0
162,550264.0,300960.0,500104.0,126368.0,126720.0
163,604648.0,327184.0,570680.0,145464.0,145992.0
164,642576.0,342848.0,633512.0,162800.0,159984.0
165,662112.0,351912.0,654104.0,167552.0,165264.0
166,670560.0,351912.0,679800.0,173536.0,173888.0
167,683584.0,358336.0,683320.0,173976.0,173976.0
168,692472.0,360360.0,693704.0,175736.0,176616.0
169,689744.0,360272.0,725824.0,184448.0,184800.0
170,638704.0,330792.0,691152.0,173448.0,179608.0
171,684728.0,371536.0,660264.0,168432.0,171160.0
172,712096.0,373824.0,726880.0,185240.0,184536.0
173,713240.0,372592.0,732512.0,187000.0,189200.0
174,714296.0,370832.0,735328.0,189992.0,190696.0
175,709104.0,370128.0,733040.0,188144.0,187704.0
176,696432.0,360448.0,727496.0,186648.0,182072.0
177,597256.0,299376.0,700656.0,179608.0,181720.0
178,561088.0,304656.0,533104.0,140888.0,134288.0
179,671792.0,369600.0,651904.0,167728.0,168520.0
180,700128.0,365288.0,721952.0,193600.0,184536.0
181,730224.0,386144.0,743864.0,194128.0,190960.0
182,743864.0,390280.0,764280.0,198440.0,197648.0
183,727232.0,379192.0,777040.0,197384.0,197736.0
184,675048.0,347952.0,709104.0,179784.0,182248.0
185,752048.0,413952.0,709192.0,179080.0,185240.0
186,788128.0,410696.0,798248.0,202664.0,203720.0
187,803000.0,415976.0,809512.0,208560.0,203808.0
188,771672.0,394416.0,812152.0,209440.0,206184.0
189,772728.0,402952.0,783200.0,202136.0,199584.0
190,720896.0,363792.0,787512.0,201432.0,199672.0
191,672936.0,351736.0,695816.0,178112.0,177320.0
192,745360.0,407880.0,663960.0,168256.0,168784.0
193,777216.0,386760.0,829576.0,218240.0,216480.0
